排名,名称,评分,别称,评价人数,简语
73,让子弹飞,8.7,让子弹飞一会儿,723846,你给我翻译翻译，神马叫做TMD的惊喜。
74,看不见的客人,8.7,佈局(台),419631,你以为你以为的就是你以为的。
75,沉默的羔羊,8.7,沉默的羔羊,399519,安东尼·霍普金斯的顶级表演。
76,蝴蝶效应,8.7,蝴蝶效应,433899,人的命运被自己瞬间的抉择改变。
77,入殓师,8.8,礼仪师之奏鸣曲(港),348734,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
78,大闹天宫,9.3,大闹天宫上下集,121117,经典之作，历久弥新。
79,春光乍泄,8.8,一起快乐,284658,爱情纠缠，男女一致。
80,末代皇帝,9.0,末代皇帝溥仪(港),206198,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
81,心灵捕手,8.8,骄阳似我(港),311672,人生中应该拥有这样的一段豁然开朗。
82,玛丽和马克思,8.9,巧克力情缘(台),252194,你是我最好的朋友，你是我唯一的朋友 。
83,阳光灿烂的日子,8.8,IntheHeatoftheSun,310497,一场华丽的意淫。
84,哈利·波特与魔法石,8.8,哈利波特1：神秘的魔法石(港,308404,童话世界的开端。
85,布达佩斯大饭店,8.8,布达佩斯大酒店(港),370589,小清新的故事里注入了大历史的情怀。
86,幽灵公主,8.8,魔法公主,265411,人与自然的战争史诗。
87,第六感,8.8,灵异第六感,264381,深入内心的恐怖，出人意料的结局。
88,禁闭岛,8.7,不赦岛(港),411107,昔日翩翩少年，今日大腹便便。
89,重庆森林,8.7,ChungkingExpress,377561,寂寞没有期限。
90,猫鼠游戏,8.8,逍遥法外,270963,骗子大师和执著警探的你追我跑故事。 
91,狩猎,9.0,谎言的烙印(台),152290,人言可畏。
92,致命ID,8.7,杀人游戏,361877,最不可能的那个人永远是最可能的。
93,大鱼,8.7,大鱼奇缘(港),283818,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
94,断背山,8.7,断臂山,361016,每个人心中都有一座断背山。
95,甜蜜蜜,8.8,Comrades:AlmostaLoveStory,257650,相逢只要一瞬间，等待却像是一辈子。
96,射雕英雄传之东成西就,8.7,东成西就,309704,百看不厌。 
97,告白,8.7,自白,383788,没有一人完全善，也没有一人完全恶。
98,一一,8.9,Yiyi,174008,我们都曾经是一一。
99,加勒比海盗,8.6,加勒比海盗1：黑珍珠号的诅咒,393914,约翰尼·德普的独角戏。
100,穿条纹睡衣的男孩,8.9,穿条纹衣服的男孩,175800,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
